State Name,geoid,County Name,Start Year,End Year,Tenure,Housing cost burden is greater than 30% but less than or equal to 50%,Housing cost burden is greater than 50%,Housing cost burden is less than or equal to 30%,Housing cost burden not computed (household has no/negative income),Total Households
District of Columbia,05000US11001,District of Columbia,1/1/2005,1/1/2009,Owner occupied,"29,535","22,780","126,370","27,145","205,830"
District of Columbia,05000US11001,District of Columbia,1/1/2005,1/1/2009,Renter occupied,"19,525","5,545","64,440",0,"89,510"
Alabama,05000US01001,Autauga County,1/1/2005,1/1/2009,Owner occupied,"1,894","1,052","12,364",694,"16,004"
Alabama,05000US01001,Autauga County,1/1/2005,1/1/2009,Renter occupied,680,124,"2,384",0,"3,188"
Alabama,05000US01001,Autauga County,1/1/2006,1/1/2010,Owner occupied,"1,854","1,164","12,184",80,"15,282"
Alabama,05000US01001,Autauga County,1/1/2006,1/1/2010,Renter occupied,821,814,"2,768",30,"4,433"
Alabama,05000US01001,Autauga County,1/1/2007,1/1/2011,Owner occupied,"2,062","1,288","12,120",90,"15,560"
Alabama,05000US01001,Autauga County,1/1/2007,1/1/2011,Renter occupied,877,753,"2,740",50,"4,420"
Alabama,05000US01001,Autauga County,1/1/2008,1/1/2012,Owner occupied,"2,049","1,374","12,010",65,"15,498"
Alabama,05000US01001,Autauga County,1/1/2008,1/1/2012,Renter occupied,928,890,"2,588",55,"4,461"
Alabama,05000US01001,Autauga County,1/1/2009,1/1/2013,Owner occupied,"1,829","1,529","12,030",44,"15,432"
Alabama,05000US01001,Autauga County,1/1/2009,1/1/2013,Renter occupied,"1,097",990,"2,493",75,"4,655"
Alabama,05000US01001,Autauga County,1/1/2010,1/1/2014,Owner occupied,"1,783","1,448","11,950",55,"15,236"
Alabama,05000US01001,Autauga County,1/1/2010,1/1/2014,Renter occupied,"1,095","1,175","2,703",75,"5,048"
Alabama,05000US01003,Baldwin County,1/1/2005,1/1/2009,Owner occupied,"8,300","5,110","43,320","1,950","58,680"
Alabama,05000US01003,Baldwin County,1/1/2005,1/1/2009,Renter occupied,"3,020","1,060","8,445",0,"12,525"
Alabama,05000US01003,Baldwin County,1/1/2006,1/1/2010,Owner occupied,"8,085","4,915","39,910",400,"53,310"
Alabama,05000US01003,Baldwin County,1/1/2006,1/1/2010,Renter occupied,"3,945","2,790","9,250",180,"16,165"
Alabama,05000US01003,Baldwin County,1/1/2007,1/1/2011,Owner occupied,"7,860","5,240","40,370",460,"53,930"
