"state_code","State.Name","County.Name","Tenure","Housing.cost.burden.is.greater.than.30..but.less.than.or.equal.to.50.","Housing.cost.burden.is.greater.than.50.","Housing.cost.burden.is.less.than.or.equal.to.30.","Housing.cost.burden.not.computed..household.has.no.negative.income.","Total.Households","Chronically Homeless","Chronically Homeless Individuals","Chronically Homeless People in Families","Homeless Individuals","Homeless People in Families","Homeless Veterans","Sheltered Chronically Homeless","Sheltered Chronically Homeless Individuals","Sheltered Chronically Homeless People in Families","Sheltered Homeless","Sheltered Homeless Individuals","Sheltered Homeless People in Families","Sheltered Homeless Veterans","Total Homeless","Unsheltered Chronically Homeless","Unsheltered Chronically Homeless Individuals","Unsheltered Chronically Homeless People in Families","Unsheltered Homeless","Unsheltered Homeless Individuals","Unsheltered Homeless People in Families","Unsheltered Homeless Veterans"
"AK","Alaska","Matanuska-Susitna Borough","Owner occupied","4,579","2,146","17,289","34","24,048",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","North Slope Borough","Owner occupied","51","58","767","0","876",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Matanuska-Susitna Borough","Renter occupied","1,419","1,295","3,819","0","6,533",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Nome Census Area","Owner occupied","174","113","1,157","0","1,444",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Nome Census Area","Renter occupied","152","106","1,047","0","1,305",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Sitka City and Borough","Owner occupied","223","75","1,639","4","1,941",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Sitka City and Borough","Renter occupied","374","394","906","4","1,678",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Skagway Municipality","Owner occupied","46","41","164","0","251",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Prince of Wales-Hyder Census Area","Renter occupied","119","14","610","4","747",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Southeast Fairbanks Census Area","Owner occupied","134","115","1,390","0","1,639",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Southeast Fairbanks Census Area","Renter occupied","64","74","740","0","878",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","North Slope Borough","Renter occupied","36","72","960","30","1,098",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Skagway Municipality","Renter occupied","24","14","131","0","169",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Wade Hampton Census Area","Owner occupied","112","65","976","0","1,153",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Wade Hampton Census Area","Renter occupied","30","28","514","0","572",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Wrangell City and Borough","Owner occupied","96","36","637","0","769",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Wrangell City and Borough","Renter occupied","53","39","164","0","256",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Yakutat City and Borough","Owner occupied","12","4","108","0","124",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Yakutat City and Borough","Renter occupied","22","12","98","0","132",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Yukon-Koyukuk Census Area","Owner occupied","169","122","1,128","0","1,419",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Yukon-Koyukuk Census Area","Renter occupied","86","56","481","0","623",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Haines Borough","Renter occupied","78","78","228","0","384",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Hoonah-Angoon Census Area","Owner occupied","38","73","496","0","607",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Hoonah-Angoon Census Area","Renter occupied","54","33","280","4","371",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Valdez-Cordova Census Area","Owner occupied","178","181","2,550","4","2,913",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Valdez-Cordova Census Area","Renter occupied","223","55","595","4","877",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Kenai Peninsula Borough","Owner occupied","2,334","1,384","12,680","58","16,456",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Kenai Peninsula Borough","Renter occupied","1,206","1,020","3,634","55","5,915",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Ketchikan Gateway Borough","Owner occupied","280","278","2,571","20","3,149",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Ketchikan Gateway Borough","Renter occupied","505","504","1,313","15","2,337",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Kodiak Island Borough","Owner occupied","391","208","1,783","0","2,382",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Kodiak Island Borough","Renter occupied","271","348","1,418","0","2,037",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Lake and Peninsula Borough","Owner occupied","50","46","259","0","355",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Lake and Peninsula Borough","Renter occupied","22","4","185","0","211",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Aleutians West Census Area","Renter occupied","62","60","659","0","781",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Anchorage Municipality","Owner occupied","11,560","5,700","47,135","133","64,528",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Anchorage Municipality","Renter occupied","9,410","7,065","23,960","170","40,605",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Bethel Census Area","Owner occupied","248","196","2,324","0","2,768",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Bethel Census Area","Renter occupied","120","143","1,258","0","1,521",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Northwest Arctic Borough","Owner occupied","125","85","758","0","968",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Northwest Arctic Borough","Renter occupied","68","66","675","0","809",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Petersburg Census Area","Owner occupied","187","40","992","0","1,219",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Petersburg Census Area","Renter occupied","38","27","322","0","387",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Prince of Wales-Hyder Census Area","Owner occupied","190","133","1,277","4","1,604",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Aleutians East Borough","Owner occupied","20","16","166","0","202",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Aleutians East Borough","Renter occupied","39","18","139","0","196",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Aleutians West Census Area","Owner occupied","85","39","354","4","482",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Haines Borough","Owner occupied","139","66","599","0","804",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Bristol Bay Borough","Owner occupied","26","8","218","0","252",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Bristol Bay Borough","Renter occupied","28","12","156","4","200",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Denali Borough","Owner occupied","52","33","390","0","475",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Denali Borough","Renter occupied","4","10","213","0","227",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Dillingham Census Area","Owner occupied","46","71","670","0","787",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Dillingham Census Area","Renter occupied","71","43","482","4","600",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Fairbanks North Star Borough","Owner occupied","3,480","1,824","15,729","49","21,082",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Fairbanks North Star Borough","Renter occupied","3,235","2,754","8,390","100","14,479",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Juneau City and Borough","Owner occupied","1,516","610","5,863","4","7,993",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AK","Alaska","Juneau City and Borough","Renter occupied","1,002","660","2,714","30","4,406",253,1430,27,5772,3499,288,194,1109,25,7935,4787,3148,236,9271,59,321,2,1336,985,351,52
"AL","Alabama","Tuscaloosa County","Owner occupied","5,934","3,969","33,609","305","43,817",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Tuscaloosa County","Renter occupied","4,359","7,899","11,460","1,174","24,892",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Walker County","Owner occupied","2,278","1,464","15,950","175","19,867",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Tallapoosa County","Renter occupied","825","783","2,594","165","4,367",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Washington County","Owner occupied","606","576","4,274","40","5,496",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Cullman County","Owner occupied","2,934","2,195","18,315","180","23,624",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Cullman County","Renter occupied","1,459","1,439","4,578","260","7,736",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Walker County","Renter occupied","1,180","853","3,678","194","5,905",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Tallapoosa County","Owner occupied","1,504","1,043","9,344","130","12,021",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Dallas County","Owner occupied","1,604","1,289","7,425","74","10,392",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Dallas County","Renter occupied","1,320","1,674","3,154","355","6,503",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Dale County","Owner occupied","1,086","692","10,053","84","11,915",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Dale County","Renter occupied","1,188","977","5,224","149","7,538",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Elmore County","Owner occupied","2,824","1,564","17,025","185","21,598",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Elmore County","Renter occupied","1,238","1,115","4,005","120","6,478",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Escambia County","Owner occupied","1,115","784","7,695","415","10,009",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Escambia County","Renter occupied","843","875","2,009","185","3,912",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Etowah County","Owner occupied","3,870","3,100","22,875","325","30,170",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Etowah County","Renter occupied","2,134","2,020","6,599","265","11,018",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Fayette County","Owner occupied","573","392","4,298","55","5,318",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Fayette County","Renter occupied","436","315","1,081","64","1,896",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Franklin County","Owner occupied","734","594","7,079","120","8,527",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Franklin County","Renter occupied","660","730","2,353","85","3,828",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Geneva County","Owner occupied","679","675","6,310","80","7,744",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","DeKalb County","Owner occupied","3,004","1,642","15,575","200","20,421",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","DeKalb County","Renter occupied","933","779","3,925","134","5,771",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Greene County","Renter occupied","202","182","530","50","964",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Hale County","Owner occupied","587","654","3,175","34","4,450",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Hale County","Renter occupied","179","260","973","19","1,431",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Henry County","Owner occupied","685","550","4,209","14","5,458",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Henry County","Renter occupied","223","224","789","75","1,311",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Houston County","Owner occupied","2,905","1,653","20,954","180","25,692",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Houston County","Renter occupied","2,430","2,637","7,450","259","12,776",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Jackson County","Owner occupied","1,970","1,303","13,014","190","16,477",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Jackson County","Renter occupied","998","803","3,150","200","5,151",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Jefferson County","Owner occupied","26,605","18,165","125,235","1,159","171,164",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Jefferson County","Renter occupied","18,370","23,445","44,050","2,360","88,225",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Geneva County","Renter occupied","433","553","1,963","175","3,124",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Greene County","Owner occupied","350","337","1,652","64","2,403",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Lauderdale County","Owner occupied","3,300","2,245","21,620","180","27,345",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Lauderdale County","Renter occupied","1,890","3,010","5,740","340","10,980",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
"AL","Alabama","Lawrence County","Owner occupied","1,524","820","8,175","140","10,659",1114,5323,68,21834,6689,659,418,2612,22,19192,14296,4896,387,28523,696,2711,46,9331,7538,1793,272
